iter	Passed	Remaining
0	145	145310
1	147	73591
2	149	49590
3	150	37527
4	152	30345
5	154	25597
6	155	22103
7	156	19467
8	157	17396
9	159	15756
10	160	14397
11	161	13270
12	162	12318
13	163	11506
14	165	10878
15	167	10284
16	168	9759
17	169	9271
18	170	8824
19	171	8423
20	172	8059
21	173	7731
22	175	7434
23	176	7158
24	176	6902
25	177	6665
26	178	6450
27	180	6249
28	181	6071
29	182	5911
30	184	5751
31	185	5607
32	186	5471
33	188	5345
34	189	5227
35	191	5130
36	192	5017
37	193	4906
38	194	4802
39	196	4712
40	197	4627
41	198	4538
42	200	4459
43	202	4401
44	203	4324
45	204	4248
46	205	4172
47	206	4101
48	208	4038
49	211	4020
50	215	4008
51	217	3966
52	219	3923
53	222	3904
54	224	3851
55	226	3815
56	227	3770
57	230	3736
58	231	3687
59	232	3639
60	233	3597
61	234	3552
62	235	3506
63	236	3464
64	238	3424
65	239	3388
66	241	3358
67	242	3324
68	244	3292
69	245	3258
70	246	3222
71	248	3197
72	249	3163
73	250	3132
74	251	3100
75	252	3070
76	253	3040
77	255	3017
78	257	2997
79	258	2973
80	259	2946
81	260	2918
82	261	2886
83	262	2863
84	263	2839
85	264	2814
86	266	2791
87	266	2766
88	267	2742
89	268	2719
90	270	2701
91	273	2697
92	274	2678
93	275	2659
94	277	2639
95	279	2627
96	280	2615
97	282	2599
98	283	2578
99	284	2558
100	286	2549
101	287	2533
102	289	2519
103	290	2502
104	291	2488
105	293	2476
106	294	2459
107	295	2442
108	296	2425
109	297	2408
110	298	2393
111	302	2401
112	305	2395
113	307	2387
114	308	2373
115	309	2358
116	310	2342
117	311	2329
118	313	2318
119	314	2306
120	318	2314
121	319	2301
122	321	2292
123	322	2280
124	323	2267
125	325	2254
126	326	2241
127	327	2228
128	328	2216
129	330	2212
130	332	2203
131	333	2192
132	334	2180
133	335	2168
134	336	2156
135	337	2145
136	338	2134
137	340	2123
138	341	2113
139	343	2110
140	345	2106
141	346	2095
142	347	2085
143	349	2077
144	350	2068
145	352	2060
146	353	2052
147	354	2042
148	356	2038
149	358	2033
150	361	2032
151	363	2027
152	366	2029
153	371	2043
154	384	2096
155	392	2124
156	395	2122
157	396	2114
158	398	2105
159	399	2098
160	400	2088
161	403	2086
162	404	2078
163	406	2072
164	407	2063
165	408	2053
166	409	2044
167	410	2035
168	412	2025
169	413	2016
170	414	2008
171	415	1999
172	418	1998
173	420	1995
174	421	1989
175	423	1982
176	425	1976
177	426	1970
178	428	1964
179	429	1956
180	432	1956
181	438	1972
182	441	1969
183	442	1964
184	444	1959
185	448	1962
186	452	1968
187	454	1963
188	455	1956
189	457	1950
190	458	1943
191	459	1935
192	461	1930
193	462	1922
194	464	1915
195	465	1908
196	467	1905
197	471	1908
198	474	1908
199	476	1905
200	479	1905
201	481	1902
202	483	1897
203	484	1890
204	485	1883
205	487	1879
206	488	1872
207	489	1865
208	491	1860
209	493	1855
210	494	1849
211	496	1843
212	497	1836
213	498	1829
214	499	1824
215	500	1817
216	501	1811
217	502	1803
218	503	1797
219	505	1790
220	507	1788
221	509	1784
222	510	1779
223	514	1783
224	516	1779
225	517	1773
226	519	1767
227	521	1765
228	523	1763
229	525	1760
230	527	1756
231	528	1750
232	530	1745
233	531	1738
234	532	1733
235	536	1736
236	538	1734
237	540	1730
238	541	1725
239	543	1721
240	545	1718
241	549	1721
242	552	1722
243	555	1721
244	557	1718
245	561	1721
246	567	1729
247	571	1731
248	573	1729
249	575	1725
250	578	1726
251	580	1724
252	583	1723
253	585	1719
254	587	1716
255	593	1724
256	596	1725
257	599	1722
258	600	1718
259	602	1715
260	604	1711
261	609	1715
262	611	1713
263	612	1708
264	615	1707
265	620	1711
266	622	1710
267	625	1709
268	627	1704
269	628	1699
270	630	1696
271	631	1691
272	633	1686
273	634	1681
274	636	1678
275	638	1674
276	639	1670
277	641	1665
278	642	1660
279	643	1655
280	645	1651
281	646	1646
282	647	1641
283	650	1640
284	654	1641
285	657	1640
286	659	1638
287	661	1636
288	665	1637
289	672	1645
290	674	1643
291	679	1646
292	681	1645
293	684	1644
294	687	1641
295	688	1637
296	689	1632
297	692	1630
298	694	1628
299	696	1625
300	697	1620
301	698	1614
302	699	1609
303	701	1605
304	702	1600
305	703	1595
306	704	1590
307	706	1587
308	708	1584
309	710	1580
310	711	1576
311	712	1571
312	713	1566
313	714	1562
314	716	1557
315	717	1553
316	719	1549
317	720	1545
318	722	1541
319	723	1536
320	724	1531
321	725	1527
322	726	1522
323	727	1518
324	729	1516
325	731	1512
326	732	1507
327	733	1502
328	735	1499
329	737	1496
330	738	1493
331	739	1488
332	741	1485
333	743	1483
334	748	1486
335	751	1485
336	754	1483
337	755	1479
338	757	1476
339	758	1473
340	760	1469
341	761	1465
342	762	1461
343	765	1460
344	768	1458
345	770	1457
346	772	1454
347	774	1450
348	775	1445
349	776	1441
350	777	1437
351	779	1434
352	782	1434
353	785	1433
354	788	1433
355	791	1431
356	793	1429
357	796	1428
358	798	1426
359	801	1424
360	803	1421
361	806	1421
362	809	1420
363	812	1419
364	816	1420
365	819	1418
366	821	1416
367	824	1415
368	826	1413
369	829	1411
370	831	1409
371	833	1407
372	835	1404
373	838	1403
374	840	1401
375	843	1399
376	845	1396
377	848	1396
378	855	1402
379	858	1401
380	861	1399
381	865	1400
382	870	1401
383	872	1399
384	874	1397
385	877	1395
386	879	1392
387	882	1391
388	885	1390
389	889	1391
390	891	1389
391	895	1389
392	898	1388
393	901	1386
394	904	1385
395	907	1384
396	913	1388
397	917	1387
398	920	1386
399	923	1385
400	926	1384
401	929	1382
402	931	1380
403	934	1379
404	937	1376
405	940	1375
406	943	1374
407	946	1373
408	948	1371
409	951	1369
410	953	1366
411	956	1365
412	958	1362
413	960	1359
414	961	1355
415	963	1352
416	964	1348
417	966	1345
418	968	1342
419	969	1339
420	971	1335
421	972	1332
422	973	1328
423	974	1324
424	975	1320
425	976	1316
426	978	1312
427	982	1312
428	983	1309
429	985	1306
430	988	1304
431	992	1304
432	993	1301
433	995	1298
434	997	1295
435	998	1291
436	1000	1288
437	1001	1285
438	1002	1281
439	1003	1277
440	1005	1274
441	1006	1270
442	1008	1268
443	1011	1266
444	1013	1263
445	1014	1260
446	1016	1256
447	1017	1253
448	1018	1249
449	1019	1246
450	1021	1242
451	1024	1241
452	1026	1240
453	1029	1238
454	1034	1239
455	1037	1237
456	1040	1235
457	1043	1235
458	1046	1233
459	1048	1230
460	1053	1232
461	1057	1232
462	1060	1229
463	1061	1226
464	1065	1225
465	1068	1224
466	1070	1222
467	1074	1221
468	1076	1219
469	1079	1217
470	1084	1217
471	1086	1215
472	1088	1212
473	1090	1210
474	1095	1210
475	1097	1208
476	1099	1205
477	1101	1202
478	1103	1200
479	1105	1197
480	1106	1193
481	1109	1192
482	1113	1192
483	1118	1192
484	1120	1190
485	1123	1188
486	1126	1187
487	1130	1186
488	1135	1186
489	1138	1184
490	1140	1182
491	1143	1180
492	1145	1178
493	1147	1175
494	1148	1172
495	1150	1169
496	1153	1167
497	1156	1165
498	1158	1163
499	1160	1160
500	1161	1157
501	1163	1153
502	1165	1151
503	1168	1150
504	1170	1147
505	1172	1144
506	1173	1141
507	1175	1138
508	1177	1135
509	1179	1132
510	1181	1130
511	1182	1127
512	1184	1124
513	1186	1121
514	1187	1118
515	1189	1115
516	1190	1112
517	1192	1109
518	1194	1106
519	1196	1104
520	1198	1101
521	1200	1098
522	1201	1096
523	1203	1092
524	1205	1090
525	1209	1089
526	1211	1087
527	1212	1084
528	1213	1080
529	1214	1077
530	1215	1073
531	1218	1071
532	1220	1069
533	1223	1067
534	1224	1064
535	1226	1061
536	1228	1058
537	1229	1055
538	1230	1052
539	1232	1049
540	1233	1046
541	1235	1043
542	1236	1040
543	1238	1037
544	1239	1034
545	1240	1031
546	1241	1028
547	1242	1025
548	1244	1022
549	1246	1019
550	1247	1016
551	1251	1015
552	1254	1013
553	1255	1010
554	1256	1007
555	1258	1004
556	1260	1002
557	1261	999
558	1262	996
559	1266	995
560	1268	992
561	1270	990
562	1272	987
563	1273	984
564	1274	981
565	1275	978
566	1276	974
567	1280	973
568	1282	971
569	1284	969
570	1287	967
571	1290	965
572	1292	963
573	1294	960
574	1297	959
575	1299	956
576	1301	954
577	1303	951
578	1305	949
579	1308	947
580	1311	945
581	1313	943
582	1316	941
583	1318	939
584	1320	936
585	1323	934
586	1325	932
587	1328	930
588	1330	928
589	1331	925
590	1332	922
591	1333	919
592	1337	917
593	1341	916
594	1343	914
595	1344	911
596	1345	908
597	1347	905
598	1348	902
599	1351	900
600	1354	899
601	1358	898
602	1361	896
603	1362	893
604	1366	891
605	1368	889
606	1370	887
607	1372	884
608	1373	881
609	1374	878
610	1375	875
611	1376	872
612	1377	869
613	1379	866
614	1381	864
615	1384	863
616	1387	861
617	1388	858
618	1390	855
619	1391	852
620	1393	850
621	1395	848
622	1397	845
623	1399	843
624	1400	840
625	1401	837
626	1403	835
627	1404	832
628	1405	829
629	1407	826
630	1409	823
631	1410	821
632	1412	818
633	1413	816
634	1416	814
635	1418	811
636	1419	808
637	1420	806
638	1421	803
639	1424	801
640	1427	799
641	1428	796
642	1429	793
643	1430	790
644	1432	788
645	1434	785
646	1437	784
647	1439	781
648	1440	779
649	1441	776
650	1442	773
651	1443	770
652	1444	767
653	1446	765
654	1448	762
655	1449	760
656	1451	757
657	1453	755
658	1455	752
659	1456	750
660	1457	747
661	1459	744
662	1460	742
663	1461	739
664	1463	737
665	1464	734
666	1467	732
667	1470	730
668	1472	728
669	1475	726
670	1478	724
671	1481	722
672	1485	721
673	1487	719
674	1489	717
675	1490	714
676	1492	712
677	1497	711
678	1499	709
679	1501	706
680	1503	704
681	1505	701
682	1506	699
683	1509	697
684	1512	695
685	1514	693
686	1516	691
687	1518	688
688	1520	686
689	1522	684
690	1523	681
691	1525	678
692	1526	676
693	1528	673
694	1529	671
695	1531	668
696	1532	666
697	1536	664
698	1539	662
699	1541	660
700	1543	658
701	1545	656
702	1549	654
703	1552	652
704	1555	650
705	1557	648
706	1560	646
707	1561	644
708	1565	642
709	1568	640
710	1571	638
711	1573	636
712	1575	633
713	1576	631
714	1578	629
715	1581	627
716	1583	625
717	1585	622
718	1589	621
719	1591	618
720	1593	616
721	1595	614
722	1596	611
723	1598	609
724	1599	606
725	1600	604
726	1601	601
727	1602	598
728	1603	596
729	1604	593
730	1606	591
731	1608	588
732	1610	586
733	1612	584
734	1613	581
735	1615	579
736	1616	576
737	1617	574
738	1618	571
739	1619	568
740	1620	566
741	1622	564
742	1624	561
743	1625	559
744	1627	557
745	1629	554
746	1630	552
747	1631	549
748	1632	547
749	1633	544
750	1634	541
751	1635	539
752	1636	536
753	1639	534
754	1641	532
755	1643	530
756	1644	527
757	1646	525
758	1649	523
759	1652	521
760	1655	519
761	1657	517
762	1659	515
763	1660	513
764	1662	510
765	1663	508
766	1665	505
767	1668	504
768	1670	501
769	1672	499
770	1674	497
771	1675	494
772	1676	492
773	1678	489
774	1679	487
775	1680	485
776	1682	482
777	1683	480
778	1685	478
779	1686	475
780	1687	473
781	1688	470
782	1690	468
783	1691	466
784	1693	463
785	1694	461
786	1695	458
787	1696	456
788	1697	454
789	1698	451
790	1700	449
791	1701	446
792	1702	444
793	1703	441
794	1704	439
795	1705	437
796	1706	434
797	1708	432
798	1714	431
799	1716	429
800	1718	427
801	1720	424
802	1722	422
803	1724	420
804	1726	418
805	1729	416
806	1731	414
807	1732	411
808	1734	409
809	1736	407
810	1737	405
811	1739	402
812	1742	400
813	1744	398
814	1746	396
815	1748	394
816	1749	391
817	1751	389
818	1752	387
819	1755	385
820	1757	383
821	1759	381
822	1761	378
823	1763	376
824	1765	374
825	1766	372
826	1768	369
827	1770	367
828	1772	365
829	1774	363
830	1776	361
831	1778	359
832	1780	356
833	1781	354
834	1782	352
835	1784	350
836	1785	347
837	1786	345
838	1788	343
839	1791	341
840	1793	339
841	1794	336
842	1796	334
843	1799	332
844	1801	330
845	1802	328
846	1804	325
847	1805	323
848	1807	321
849	1808	319
850	1809	316
851	1810	314
852	1811	312
853	1812	309
854	1813	307
855	1815	305
856	1816	303
857	1818	301
858	1821	298
859	1822	296
860	1823	294
861	1824	292
862	1825	289
863	1827	287
864	1829	285
865	1831	283
866	1833	281
867	1834	278
868	1835	276
869	1836	274
870	1837	272
871	1838	269
872	1839	267
873	1840	265
874	1841	263
875	1843	260
876	1845	258
877	1847	256
878	1849	254
879	1850	252
880	1852	250
881	1853	247
882	1854	245
883	1855	243
884	1856	241
885	1858	239
886	1861	237
887	1863	235
888	1865	232
889	1866	230
890	1868	228
891	1870	226
892	1874	224
893	1877	222
894	1879	220
895	1881	218
896	1883	216
897	1884	214
898	1887	212
899	1889	209
900	1890	207
901	1891	205
